transaction_id,user_id,date,amount,category,merchant,currency,abs_amount,amount_log1p,month,day_of_week,is_weekend,rolling_amount_mean
tx_000026,1,2023-03-21,36.66,rent,WholeFoods,USD,36.66,3.628598523229006,2023-03,Tuesday,0,36.66
tx_000503,1,2023-07-23,25.51,investment,LocalGym,USD,25.51,3.277522020300934,2023-07,Sunday,1,31.085
tx_000059,1,2023-11-30,5.89,utilities,Starbucks,USD,5.89,1.9300710850255671,2023-11,Thursday,0,22.686666666666667
tx_001065,1,2024-01-25,123.74,entertainment,Walmart,USD,123.74,4.826231571097977,2024-01,Thursday,0,47.95
tx_000311,1,2024-04-18,4.19,investment,Starbucks,USD,4.19,1.6467336971777973,2024-04,Thursday,0,39.198
tx_000335,2,2023-02-12,58.53,investment,Starbucks,USD,58.53,4.086480387165299,2023-02,Sunday,1,58.53
tx_000627,2,2023-03-23,109.28,groceries,Spotify,USD,109.28,4.703022586155596,2023-03,Thursday,0,83.905
tx_000378,2,2023-06-26,111.08,rent,Starbucks,USD,111.08,4.719212902028752,2023-06,Monday,0,92.96333333333332
tx_000671,2,2023-10-14,40.09,groceries,Starbucks,USD,40.09,3.7157647828953184,2023-10,Saturday,1,79.745
tx_000615,2,2024-01-10,66.31,utilities,Amazon,USD,66.31,4.209308814022622,2024-01,Wednesday,0,77.058
tx_000713,2,2024-09-18,14.29,groceries,LocalGym,USD,14.29,2.727199019940971,2024-09,Wednesday,0,66.59666666666666
tx_001165,3,2023-02-23,16.82,health,Uber,USD,16.82,2.8803214220426634,2023-02,Thursday,0,16.82
tx_000910,3,2023-05-20,30.89,health,WholeFoods,USD,30.89,3.4622924810219664,2023-05,Saturday,1,23.855
tx_000181,3,2024-10-10,106.65,groceries,Uber,USD,106.65,4.678885223810372,2024-10,Thursday,0,51.45333333333334
tx_001161,4,2023-01-11,84.34,investment,Uber,USD,84.34,4.446643277759854,2023-01,Wednesday,0,84.34
tx_000707,4,2023-02-10,73.79,entertainment,WholeFoods,USD,73.79,4.314684186203576,2023-02,Friday,0,79.065
tx_000968,4,2023-02-21,66.15,utilities,WholeFoods,USD,66.15,4.206928922969246,2023-02,Tuesday,0,74.76
